Year,Month,PublicHealthRegion,County,Animal,TestResult
2023,January,8,Victoria,Cat,Negative
2023,January,8,Victoria,Cat,Negative
2023,January,4,Van Zandt,Skunk,Positive
2023,January,4,Van Zandt,Fox,Negative
2023,January,4,Van Zandt,Dog,Negative
2023,January,4,Van Zandt,Cat,Negative
2023,January,8,Val Verde,Cat,Negative
2023,January,4,Upshur,Equine,Negative
2023,January,5,Trinity,Dog,Negative
2023,January,7,Travis,Skunk,Negative
2023,January,7,Travis,Fox,Negative
2023,January,7,Travis,Fox,Negative
2023,January,7,Travis,Bat,Negative
2023,January,7,Travis,Coyote,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Raccoon,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Dog,Negative
2023,January,7,Travis,Cat,Negative
2023,January,7,Travis,Cat,Negative
2023,January,7,Travis,Cat,Negative
2023,January,7,Travis,Cat,Negative
2023,January,9,Tom Green,Dog,Negative
2023,January,9,Tom Green,Dog,Negative
2023,January,9,Tom Green,Dog,Negative
2023,January,9,Tom Green,Cat,Negative
2023,January,9,Tom Green,Cat,Negative
2023,January,9,Tom Green,Cat,Negative
2023,January,4,Titus,Dog,Negative
2023,January,4,Titus,Cat,Negative
2023,January,2,Taylor,Raccoon,Negative
2023,January,2,Taylor,Dog,Negative
2023,January,2,Taylor,Dog,Negative
2023,January,2,Taylor,Dog,Negative
2023,January,2,Taylor,Dog,Negative
2023,January,2,Taylor,Dog,Negative
2023,January,2,Taylor,Dog,Negative
2023,January,2,Taylor,Cat,Negative
2023,January,2,Taylor,Cat,Negative
2023,January,2,Taylor,Cat,Negative
2023,January,3,Tarrant,Fox,Negative
2023,January,3,Tarrant,Raccoon,Negative
2023,January,3,Tarrant,Raccoon,Negative
2023,January,3,Tarrant,Raccoon,Negative
2023,January,3,Tarrant,Raccoon,Negative
2023,January,3,Tarrant,Raccoon,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Dog,Negative
2023,January,3,Tarrant,Cat,Negative
2023,January,3,Tarrant,Cat,Negative
2023,January,3,Tarrant,Cat,Negative
2023,January,3,Tarrant,Cat,Negative
2023,January,3,Tarrant,Cat,Negative
2023,January,3,Tarrant,Cat,Negative
2023,January,3,Tarrant,Other,Negative
2023,January,9,Sutton,Dog,Negative
2023,January,4,Smith,Bat,Negative
2023,January,4,Smith,Coyote,Negative
2023,January,4,Smith,Dog,Negative
2023,January,4,Smith,Dog,Negative
2023,January,4,Smith,Dog,Negative
2023,January,4,Smith,Dog,Negative
2023,January,4,Smith,Cat,Negative
2023,January,4,Smith,Cat,Negative
2023,January,4,Smith,Other,Negative
2023,January,5,Shelby,Dog,Negative
2023,January,11,San Patricio,Dog,Negative
2023,January,11,San Patricio,Cat,Negative
2023,January,11,San Patricio,Cat,Negative
2023,January,11,San Patricio,Cat,Negative
2023,January,2,Runnels,Dog,Negative
2023,January,3,Rockwall,Dog,Negative
2023,January,3,Rockwall,Dog,Negative
2023,January,7,Robertson,Raccoon,Negative
2023,January,11,Refugio,Other,Negative
2023,January,1,Randall,Coyote,Negative
2023,January,1,Potter,Dog,Negative
2023,January,1,Potter,Dog,Negative
2023,January,1,Potter,Cat,Negative
2023,January,1,Potter,Cat,Negative
2023,January,5,Polk,Equine,Negative
2023,January,3,Parker,Dog,Negative
2023,January,3,Parker,Dog,Negative
2023,January,3,Parker,Cat,Negative
2023,January,3,Parker,Cat,Negative
2023,January,3,Palo Pinto,Raccoon,Negative
2023,January,3,Palo Pinto,Dog,Negative
2023,January,3,Palo Pinto,Cat,Negative
2023,January,5,Orange,Dog,Negative
2023,January,5,Orange,Dog,Negative
2023,January,1,Oldham,Cat,Negative
2023,January,11,Nueces,Dog,Negative
2023,January,11,Nueces,Dog,Negative
2023,January,11,Nueces,Dog,Negative
2023,January,11,Nueces,Dog,Negative
2023,January,11,Nueces,Cat,Negative
2023,January,11,Nueces,Cat,Negative
2023,January,11,Nueces,Cat,Negative
2023,January,11,Nueces,Cat,Negative
2023,January,3,Navarro,Dog,Negative
2023,January,11,Hidalgo,Dog,Negative
2023,January,4,Henderson,Dog,Negative
2023,January,4,Henderson,Cat,Negative
2023,January,1,Hemphill,Fox,Negative
2023,January,7,Hays,Fox,Positive
2023,January,7,Hays,Fox,Positive
2023,January,7,Hays,Dog,Negative
2023,January,7,Hays,Cat,Negative
2023,January,7,Hays,Cat,Negative
2023,January,7,Hays,Equine,Negative
2023,January,2,Haskell,Dog,Negative
2023,January,1,Hockley,Skunk,Negative
2023,January,3,Hood,Bat,Negative
2023,January,3,Hood,Bat,Negative
2023,January,3,Hood,Dog,Negative
2023,January,3,Hood,Dog,Negative
2023,January,3,Hood,Cat,Negative
2023,January,3,Hood,Cat,Negative
2023,January,3,Hunt,Raccoon,Negative
2023,January,3,Hunt,Dog,Negative
2023,January,3,Hunt,Dog,Negative
2023,January,3,Hunt,Dog,Negative
2023,January,3,Hunt,Dog,Negative
2023,January,2,Jack,Cat,Negative
2023,January,2,Jack,Bovine,Positive
2023,January,10,Jeff Davis,Dog,Negative
2023,January,5,Jefferson,Dog,Negative
2023,January,3,Johnson,Raccoon,Negative
2023,January,3,Johnson,Dog,Negative
2023,January,3,Johnson,Dog,Negative
2023,January,3,Johnson,Dog,Negative
2023,January,3,Johnson,Dog,Negative
2023,January,3,Johnson,Dog,Negative
2023,January,3,Johnson,Dog,Negative
2023,January,3,Johnson,Dog,Negative
2023,January,3,Johnson,Cat,Negative
2023,January,5,Nacogdoches,Dog,Negative
2023,January,5,Nacogdoches,Dog,Negative
